itle,Type,Genre,ReleaseYear,Rating,Duration,Country,Score,Decade,ScoreColor,isSeries
Title 758,TV Show,Horror,1997,G,98 min,Germany,1,1990,"#CC3300",true
Title 759,Movie,Action,1973,TV-MA,3 Seasons,South Korea,3,1970,"#659900",false
Title 760,Movie,Horror,1979,TV-PG,165 min,Canada,3,1970,"#659900",true
Title 761,TV Show,Thriller,1973,TV-MA,1 Seasons,India,1,1970,"#CC3300",false
Title 762,Movie,Sci-Fi,1989,TV-14,1 Seasons,Canada,0,1980,"#FF0000",false
Title 763,TV Show,Thriller,2022,TV-14,1 Seasons,United Kingdom,3,2020,"#659900",false
Title 764,TV Show,Romance,2008,G,132 min,India,0,2000,"#FF0000",true
Title 765,TV Show,Documentary,1970,PG-13,2 Seasons,Australia,0,1970,"#FF0000",false
Title 766,Movie,Sci-Fi,2005,PG-13,2 Seasons,Canada,2,2000,"#996600",false
Title 767,Movie,Romance,1970,G,120 min,Canada,5,1970,"#00FF00",true
Title 768,Movie,Romance,1999,TV-MA,109 min,South Korea,3,1990,"#659900",true
Title 769,Movie,Sci-Fi,1999,R,129 min,Canada,4,1990,"#32CC00",true
Title 770,TV Show,Documentary,1991,G,81 min,Canada,3,1990,"#659900",true
Title 771,Movie,Thriller,1983,PG-13,1 Seasons,Australia,1,1980,"#CC3300",false
Title 772,TV Show,Thriller,1965,PG-13,3 Seasons,Australia,0,1960,"#FF0000",false
Title 773,Movie,Thriller,1950,PG,2 Seasons,United Kingdom,4,1950,"#32CC00",false
Title 774,TV Show,Sci-Fi,2003,TV-14,79 min,United Kingdom,4,2000,"#32CC00",true
Title 775,TV Show,Sci-Fi,1985,TV-PG,1 Seasons,Canada,5,1980,"#00FF00",false
Title 776,TV Show,Thriller,1983,G,1 Seasons,Japan,2,1980,"#996600",false
Title 777,Movie,Romance,1956,R,1 Seasons,South Korea,2,1950,"#996600",false
Title 778,TV Show,Horror,1957,R,139 min,South Korea,5,1950,"#00FF00",true
Title 779,TV Show,Action,2012,PG,62 min,United Kingdom,3,2010,"#659900",true
Title 780,Movie,Horror,2018,TV-MA,2 Seasons,Germany,0,2010,"#FF0000",false
Title 781,TV Show,Documentary,1970,G,3 Seasons,United Kingdom,0,1970,"#FF0000",false
Title 782,TV Show,Thriller,1970,R,116 min,United Kingdom,1,1970,"#CC3300",true
Title 783,TV Show,Comedy,1975,TV-14,126 min,India,3,1970,"#659900",true
Title 784,TV Show,Action,2000,TV-MA,1 Seasons,Australia,2,2000,"#996600",false
Title 785,Movie,Sci-Fi,1998,TV-PG,102 min,South Korea,1,1990,"#CC3300",true
Title 786,TV Show,Comedy,1971,TV-PG,135 min,United Kingdom,0,1970,"#FF0000",true
Title 787,Movie,Action,1999,TV-MA,1 Seasons,Canada,1,1990,"#CC3300",false
Title 788,TV Show,Action,1986,R,1 Seasons,Germany,2,1980,"#996600",false
Title 789,Movie,Romance,1956,G,134 min,India,4,1950,"#32CC00",true
Title 790,Movie,Thriller,1983,PG-13,3 Seasons,Australia,4,1980,"#32CC00",false
Title 791,Movie,Sci-Fi,1986,G,1 Seasons,Australia,1,1980,"#CC3300",false
Title 792,Movie,Drama,1993,TV-PG,3 Seasons,United States,5,1990,"#00FF00",false
Title 793,TV Show,Horror,2003,G,178 min,Germany,0,2000,"#FF0000",true
Title 794,TV Show,Sci-Fi,2010,TV-14,1 Seasons,Canada,3,2010,"#659900",false
Title 795,TV Show,Thriller,1982,PG-13,137 min,Canada,1,1980,"#CC3300",true
Title 796,Movie,Thriller,1957,PG,1 Seasons,Canada,0,1950,"#FF0000",false
Title 797,TV Show,Horror,2012,G,67 min,United States,3,2010,"#659900",true
Title 798,Movie,Horror,2021,R,2 Seasons,United States,3,2020,"#659900",false
Title 799,Movie,Thriller,2021,PG-13,180 min,South Korea,4,2020,"#32CC00",true
Title 800,Movie,Sci-Fi,2002,TV-MA,2 Seasons,Canada,1,2000,"#CC3300",false
Title 801,TV Show,Sci-Fi,2015,PG-13,3 Seasons,South Korea,2,2010,"#996600",false
Title 802,TV Show,Romance,2000,G,61 min,United States,5,2000,"#00FF00",true
Title 803,TV Show,Thriller,1987,R,63 min,United States,1,1980,"#CC3300",true
Title 804,Movie,Drama,1953,G,173 min,Canada,1,1950,"#CC3300",true
Title 805,Movie,Documentary,1985,TV-14,1 Seasons,United States,4,1980,"#32CC00",false
Title 806,TV Show,Action,2013,R,176 min,Germany,1,2010,"#CC3300",true
Title 807,Movie,Action,1997,TV-14,3 Seasons,Australia,3,1990,"#659900",false
Title 808,TV Show,Action,2013,TV-MA,2 Seasons,India,5,2010,"#00FF00",false
Title 809,TV Show,Sci-Fi,2023,TV-PG,164 min,United States,2,2020,"#996600",true
Title 810,TV Show,Romance,1988,G,76 min,Canada,4,1980,"#32CC00",true
Title 811,TV Show,Romance,1965,PG-13,66 min,Australia,3,1960,"#659900",true
Title 812,TV Show,Action,2018,PG,3 Seasons,India,2,2010,"#996600",false
Title 813,Movie,Drama,1951,PG,2 Seasons,India,5,1950,"#00FF00",false
Title 814,Movie,Romance,1994,TV-14,3 Seasons,United Kingdom,1,1990,"#CC3300",false
Title 815,TV Show,Sci-Fi,1991,TV-MA,74 min,Japan,5,1990,"#00FF00",true
Title 816,TV Show,Documentary,1999,TV-MA,75 min,South Korea,0,1990,"#FF0000",true
Title 817,Movie,Action,2009,TV-14,1 Seasons,India,5,2000,"#00FF00",false
Title 818,TV Show,Comedy,1961,G,131 min,United Kingdom,4,1960,"#32CC00",true
Title 819,Movie,Comedy,1985,PG-13,105 min,Canada,2,1980,"#996600",true
Title 820,Movie,Sci-Fi,1983,TV-PG,154 min,India,2,1980,"#996600",true
Title 821,Movie,Comedy,1969,TV-14,155 min,India,5,1960,"#00FF00",true
Title 822,Movie,Documentary,1961,TV-PG,122 min,United Kingdom,0,1960,"#FF0000",true
Title 823,TV Show,Action,1975,TV-PG,144 min,South Korea,3,1970,"#659900",true
Title 824,Movie,Sci-Fi,1956,TV-MA,1 Seasons,India,5,1950,"#00FF00",false
Title 825,Movie,Documentary,1982,G,137 min,India,0,1980,"#FF0000",true
Title 826,Movie,Action,1976,TV-14,3 Seasons,Canada,5,1970,"#00FF00",false
Title 827,Movie,Horror,1992,PG-13,152 min,United Kingdom,2,1990,"#996600",true
Title 828,TV Show,Comedy,1976,R,1 Seasons,Germany,5,1970,"#00FF00",false
Title 829,Movie,Drama,2008,TV-14,88 min,Canada,1,2000,"#CC3300",true
Title 830,Movie,Romance,1963,TV-14,3 Seasons,India,3,1960,"#659900",false
Title 831,TV Show,Thriller,1997,TV-14,131 min,India,2,1990,"#996600",true
Title 832,TV Show,Action,1980,TV-MA,93 min,United Kingdom,1,1980,"#CC3300",true
Title 833,Movie,Thriller,1966,TV-14,2 Seasons,United States,4,1960,"#32CC00",false
Title 834,TV Show,Action,2020,TV-MA,152 min,United Kingdom,4,2020,"#32CC00",true
Title 835,TV Show,Drama,1955,TV-14,2 Seasons,Australia,5,1950,"#00FF00",false
Title 836,TV Show,Action,1975,PG-13,3 Seasons,India,5,1970,"#00FF00",false
Title 837,Movie,Drama,1975,PG-13,175 min,India,1,1970,"#CC3300",true
Title 838,Movie,Thriller,1988,PG-13,103 min,Germany,0,1980,"#FF0000",true
Title 839,TV Show,Comedy,2009,TV-MA,3 Seasons,India,0,2000,"#FF0000",false
Title 840,TV Show,Documentary,2004,TV-MA,131 min,Australia,5,2000,"#00FF00",true
Title 841,Movie,Documentary,2017,TV-MA,1 Seasons,Germany,0,2010,"#FF0000",false
Title 842,Movie,Documentary,1983,TV-PG,130 min,Canada,5,1980,"#00FF00",true
Title 843,TV Show,Drama,1984,R,147 min,Japan,1,1980,"#CC3300",true
Title 844,TV Show,Sci-Fi,1973,PG,135 min,India,0,1970,"#FF0000",true
Title 845,TV Show,Comedy,1985,PG-13,178 min,India,0,1980,"#FF0000",true
Title 846,TV Show,Sci-Fi,2011,PG,2 Seasons,Canada,1,2010,"#CC3300",false
Title 847,TV Show,Comedy,2000,G,3 Seasons,Australia,2,2000,"#996600",false
Title 848,Movie,Documentary,2016,R,74 min,United Kingdom,0,2010,"#FF0000",true
Title 849,Movie,Drama,1990,PG-13,3 Seasons,Germany,3,1990,"#659900",false
Title 850,Movie,Sci-Fi,1990,R,111 min,Japan,1,1990,"#CC3300",true
Title 851,Movie,Thriller,1990,PG-13,106 min,United States,0,1990,"#FF0000",true
Title 852,TV Show,Thriller,2010,PG-13,2 Seasons,Australia,0,2010,"#FF0000",false
Title 853,TV Show,Sci-Fi,2007,PG-13,3 Seasons,Germany,2,2000,"#996600",false
Title 854,TV Show,Romance,1983,TV-PG,1 Seasons,Japan,3,1980,"#659900",false
Title 855,TV Show,Action,1979,TV-14,2 Seasons,India,3,1970,"#659900",false
Title 856,Movie,Sci-Fi,2002,PG-13,132 min,United Kingdom,1,2000,"#CC3300",true
Title 857,TV Show,Action,2004,R,164 min,Germany,0,2000,"#FF0000",true
Title 858,Movie,Drama,2021,PG,140 min,United Kingdom,2,2020,"#996600",true
Title 859,Movie,Action,1983,TV-PG,85 min,Japan,0,1980,"#FF0000",true
Title 860,TV Show,Sci-Fi,2011,R,2 Seasons,South Korea,0,2010,"#FF0000",false
Title 861,Movie,Romance,2020,PG-13,1 Seasons,Australia,1,2020,"#CC3300",false
Title 862,Movie,Comedy,1972,PG-13,2 Seasons,United Kingdom,3,1970,"#659900",false
Title 863,TV Show,Documentary,2000,PG,86 min,India,0,2000,"#FF0000",true
Title 864,TV Show,Comedy,2011,PG-13,169 min,United States,5,2010,"#00FF00",true
Title 865,TV Show,Drama,1998,TV-MA,153 min,Australia,1,1990,"#CC3300",true
Title 866,Movie,Horror,2019,TV-PG,146 min,Australia,2,2010,"#996600",true
Title 867,Movie,Comedy,1997,R,2 Seasons,Japan,0,1990,"#FF0000",false
Title 868,Movie,Drama,2007,G,3 Seasons,India,1,2000,"#CC3300",false
Title 869,TV Show,Drama,1971,TV-MA,154 min,Canada,4,1970,"#32CC00",true
Title 870,TV Show,Drama,2003,R,70 min,United Kingdom,2,2000,"#996600",true
Title 871,Movie,Comedy,1957,PG-13,60 min,South Korea,2,1950,"#996600",true
Title 872,TV Show,Sci-Fi,2003,R,3 Seasons,Germany,3,2000,"#659900",false
Title 873,TV Show,Action,2003,TV-PG,3 Seasons,United Kingdom,1,2000,"#CC3300",false
Title 874,Movie,Sci-Fi,2019,TV-14,2 Seasons,Japan,1,2010,"#CC3300",false
Title 875,TV Show,Action,1982,TV-14,3 Seasons,Canada,1,1980,"#CC3300",false
Title 876,TV Show,Thriller,1991,TV-PG,2 Seasons,United Kingdom,4,1990,"#32CC00",false
Title 877,TV Show,Sci-Fi,2012,R,1 Seasons,South Korea,1,2010,"#CC3300",false
Title 878,Movie,Action,1974,G,77 min,South Korea,4,1970,"#32CC00",true
Title 879,TV Show,Thriller,1994,TV-PG,1 Seasons,United Kingdom,1,1990,"#CC3300",false
Title 880,Movie,Action,1991,PG,130 min,Japan,1,1990,"#CC3300",true
Title 881,Movie,Comedy,1979,TV-MA,126 min,United Kingdom,2,1970,"#996600",true
Title 882,TV Show,Romance,1961,PG,3 Seasons,United Kingdom,5,1960,"#00FF00",false
Title 883,TV Show,Comedy,1988,TV-PG,140 min,United Kingdom,4,1980,"#32CC00",true
Title 884,TV Show,Sci-Fi,1950,TV-PG,2 Seasons,United States,1,1950,"#CC3300",false
Title 885,TV Show,Action,1962,TV-MA,134 min,Canada,1,1960,"#CC3300",true
Title 886,TV Show,Action,1980,PG,155 min,South Korea,3,1980,"#659900",true
Title 887,TV Show,Horror,1965,TV-MA,86 min,United States,2,1960,"#996600",true
Title 888,TV Show,Horror,2010,TV-MA,93 min,United States,2,2010,"#996600",true
Title 889,Movie,Comedy,1958,R,1 Seasons,Canada,3,1950,"#659900",false
Title 890,TV Show,Horror,1993,TV-14,3 Seasons,United Kingdom,5,1990,"#00FF00",false
Title 891,TV Show,Horror,2018,G,1 Seasons,Japan,4,2010,"#32CC00",false
Title 892,Movie,Horror,1995,R,71 min,India,5,1990,"#00FF00",true
Title 893,TV Show,Documentary,2013,R,3 Seasons,United Kingdom,0,2010,"#FF0000",false
Title 894,Movie,Horror,1963,PG-13,68 min,Germany,0,1960,"#FF0000",true
Title 895,Movie,Drama,1984,G,2 Seasons,United Kingdom,1,1980,"#CC3300",false
Title 896,Movie,Thriller,2019,PG,3 Seasons,Australia,2,2010,"#996600",false
Title 897,TV Show,Documentary,1959,G,2 Seasons,Germany,3,1950,"#659900",false
Title 898,Movie,Sci-Fi,1970,PG-13,169 min,United Kingdom,3,1970,"#659900",true
Title 899,Movie,Action,1979,PG-13,3 Seasons,Canada,1,1970,"#CC3300",false
Title 900,Movie,Thriller,1982,TV-14,3 Seasons,India,0,1980,"#FF0000",false
Title 901,Movie,Romance,1976,TV-14,62 min,United Kingdom,3,1970,"#659900",true
Title 902,Movie,Sci-Fi,1959,G,1 Seasons,South Korea,1,1950,"#CC3300",false
Title 903,Movie,Romance,1968,TV-14,1 Seasons,United Kingdom,5,1960,"#00FF00",false
Title 904,Movie,Action,1997,TV-PG,1 Seasons,South Korea,3,1990,"#659900",false
Title 905,Movie,Action,1964,TV-MA,124 min,India,3,1960,"#659900",true
Title 906,Movie,Documentary,2003,TV-PG,1 Seasons,Germany,1,2000,"#CC3300",false
Title 907,Movie,Horror,2014,PG-13,161 min,Japan,3,2010,"#659900",true
Title 908,TV Show,Drama,2006,PG,159 min,United Kingdom,0,2000,"#FF0000",true
Title 909,Movie,Action,1951,PG,63 min,Australia,2,1950,"#996600",true
Title 910,TV Show,Thriller,1966,TV-14,171 min,South Korea,1,1960,"#CC3300",true
Title 911,Movie,Documentary,1970,TV-MA,175 min,Australia,5,1970,"#00FF00",true
Title 912,Movie,Sci-Fi,1999,TV-14,97 min,United States,4,1990,"#32CC00",true
Title 913,Movie,Horror,2008,TV-14,152 min,Germany,2,2000,"#996600",true
Title 914,Movie,Comedy,1960,PG-13,3 Seasons,South Korea,2,1960,"#996600",false
Title 915,Movie,Romance,1970,TV-PG,77 min,Japan,1,1970,"#CC3300",true
Title 916,Movie,Documentary,1983,R,63 min,South Korea,0,1980,"#FF0000",true
Title 917,TV Show,Action,2018,PG,2 Seasons,India,3,2010,"#659900",false
Title 918,TV Show,Romance,1991,TV-14,3 Seasons,Australia,5,1990,"#00FF00",false
Title 919,Movie,Documentary,1961,G,113 min,Australia,2,1960,"#996600",true
Title 920,Movie,Action,1998,PG,121 min,Canada,0,1990,"#FF0000",true
Title 921,TV Show,Action,1972,TV-PG,1 Seasons,Australia,4,1970,"#32CC00",false
Title 922,TV Show,Horror,1954,PG,1 Seasons,India,3,1950,"#659900",false
Title 923,Movie,Documentary,1964,PG-13,91 min,Australia,0,1960,"#FF0000",true
Title 924,TV Show,Horror,2014,TV-PG,147 min,Canada,2,2010,"#996600",true
Title 925,Movie,Sci-Fi,1955,TV-PG,1 Seasons,Canada,4,1950,"#32CC00",false
Title 926,Movie,Drama,2020,TV-PG,2 Seasons,United States,2,2020,"#996600",false
Title 927,TV Show,Romance,1974,TV-14,2 Seasons,United Kingdom,3,1970,"#659900",false
Title 928,TV Show,Romance,2009,TV-14,2 Seasons,India,3,2000,"#659900",false
Title 929,Movie,Comedy,2002,TV-14,1 Seasons,United Kingdom,3,2000,"#659900",false
Title 930,TV Show,Comedy,2010,R,89 min,India,0,2010,"#FF0000",true
Title 931,Movie,Drama,1962,R,2 Seasons,Australia,1,1960,"#CC3300",false
Title 932,TV Show,Romance,1970,TV-MA,1 Seasons,Canada,5,1970,"#00FF00",false
Title 933,Movie,Drama,1953,TV-14,99 min,Germany,4,1950,"#32CC00",true
Title 934,TV Show,Romance,1966,G,2 Seasons,Germany,1,1960,"#CC3300",false
Title 935,TV Show,Thriller,1952,TV-14,1 Seasons,United States,1,1950,"#CC3300",false
Title 936,TV Show,Comedy,1952,TV-14,2 Seasons,Japan,3,1950,"#659900",false
Title 937,Movie,Horror,1953,TV-MA,175 min,Canada,4,1950,"#32CC00",true
Title 938,TV Show,Documentary,1986,PG,2 Seasons,South Korea,2,1980,"#996600",false
Title 939,Movie,Drama,2007,R,3 Seasons,Canada,5,2000,"#00FF00",false
Title 940,Movie,Thriller,1973,TV-14,85 min,India,4,1970,"#32CC00",true
Title 941,Movie,Horror,2019,TV-MA,1 Seasons,Germany,2,2010,"#996600",false
Title 942,Movie,Thriller,2005,TV-MA,115 min,United Kingdom,3,2000,"#659900",true
Title 943,TV Show,Drama,1998,TV-14,3 Seasons,United States,5,1990,"#00FF00",false
Title 944,TV Show,Drama,1962,PG-13,169 min,Australia,3,1960,"#659900",true
Title 945,TV Show,Drama,2021,TV-MA,1 Seasons,United States,1,2020,"#CC3300",false
Title 946,TV Show,Romance,2014,TV-14,2 Seasons,Australia,0,2010,"#FF0000",false
Title 947,TV Show,Drama,1979,R,66 min,South Korea,4,1970,"#32CC00",true
Title 948,Movie,Documentary,2010,R,2 Seasons,South Korea,4,2010,"#32CC00",false
Title 949,TV Show,Thriller,2014,TV-MA,2 Seasons,Canada,2,2010,"#996600",false
Title 950,TV Show,Romance,1968,TV-14,3 Seasons,Japan,3,1960,"#659900",false
Title 951,TV Show,Romance,1986,PG-13,1 Seasons,India,0,1980,"#FF0000",false
Title 952,TV Show,Horror,1983,TV-PG,1 Seasons,Germany,0,1980,"#FF0000",false
Title 953,Movie,Horror,1986,TV-14,1 Seasons,Canada,3,1980,"#659900",false
Title 954,TV Show,Romance,1953,TV-MA,79 min,Japan,0,1950,"#FF0000",true
Title 955,Movie,Drama,2021,TV-14,3 Seasons,United States,1,2020,"#CC3300",false
Title 956,Movie,Romance,1959,PG-13,126 min,United States,4,1950,"#32CC00",true
Title 957,TV Show,Documentary,1996,G,2 Seasons,Australia,4,1990,"#32CC00",false
Title 958,TV Show,Thriller,1950,PG-13,138 min,Canada,0,1950,"#FF0000",true
Title 959,Movie,Documentary,2003,TV-14,3 Seasons,Japan,2,2000,"#996600",false
Title 960,TV Show,Comedy,1953,G,3 Seasons,India,4,1950,"#32CC00",false
Title 961,TV Show,Documentary,1959,TV-PG,133 min,South Korea,3,1950,"#659900",true
Title 962,Movie,Documentary,1966,TV-PG,104 min,United States,3,1960,"#659900",true
Title 963,TV Show,Comedy,2023,G,143 min,Germany,2,2020,"#996600",true
Title 964,TV Show,Documentary,1953,TV-MA,135 min,Canada,0,1950,"#FF0000",true
Title 965,Movie,Horror,1978,PG,2 Seasons,United Kingdom,5,1970,"#00FF00",false
Title 966,TV Show,Sci-Fi,1999,R,2 Seasons,Canada,4,1990,"#32CC00",false
Title 967,TV Show,Thriller,2011,TV-PG,145 min,Japan,0,2010,"#FF0000",true
Title 968,Movie,Thriller,1973,TV-PG,164 min,South Korea,1,1970,"#CC3300",true
Title 969,Movie,Documentary,1987,R,1 Seasons,India,1,1980,"#CC3300",false
Title 970,Movie,Horror,1960,R,2 Seasons,India,5,1960,"#00FF00",false
Title 971,Movie,Action,1969,TV-14,64 min,Germany,4,1960,"#32CC00",true
Title 972,TV Show,Comedy,1972,TV-MA,1 Seasons,Japan,3,1970,"#659900",false
Title 973,Movie,Documentary,1973,TV-PG,92 min,South Korea,0,1970,"#FF0000",true
Title 974,Movie,Horror,2013,TV-PG,82 min,Canada,5,2010,"#00FF00",true
Title 975,Movie,Thriller,2022,G,1 Seasons,Japan,1,2020,"#CC3300",false
Title 976,TV Show,Horror,1988,G,164 min,South Korea,4,1980,"#32CC00",true
Title 977,TV Show,Drama,1995,TV-14,132 min,Japan,3,1990,"#659900",true
Title 978,Movie,Thriller,2016,G,2 Seasons,Germany,0,2010,"#FF0000",false
Title 979,Movie,Romance,2019,TV-14,2 Seasons,South Korea,3,2010,"#659900",false
Title 980,TV Show,Comedy,2007,PG,2 Seasons,Australia,4,2000,"#32CC00",false
Title 981,TV Show,Documentary,1963,R,3 Seasons,South Korea,5,1960,"#00FF00",false
Title 982,Movie,Documentary,1957,PG-13,3 Seasons,United Kingdom,5,1950,"#00FF00",false
Title 983,TV Show,Action,2009,R,3 Seasons,Australia,3,2000,"#659900",false
Title 984,TV Show,Thriller,2002,TV-PG,117 min,Canada,4,2000,"#32CC00",true
Title 985,TV Show,Romance,1997,R,2 Seasons,Germany,1,1990,"#CC3300",false
Title 986,Movie,Thriller,1959,R,122 min,Japan,5,1950,"#00FF00",true
Title 987,Movie,Action,1981,PG,1 Seasons,South Korea,1,1980,"#CC3300",false
Title 988,Movie,Comedy,1992,TV-MA,153 min,South Korea,5,1990,"#00FF00",true
Title 989,Movie,Thriller,1979,TV-PG,2 Seasons,India,0,1970,"#FF0000",false
Title 990,Movie,Comedy,2005,R,3 Seasons,Australia,0,2000,"#FF0000",false
Title 991,TV Show,Action,1992,TV-14,167 min,Germany,4,1990,"#32CC00",true
Title 992,Movie,Horror,1989,PG-13,2 Seasons,United States,4,1980,"#32CC00",false
Title 993,Movie,Thriller,1995,TV-MA,173 min,South Korea,5,1990,"#00FF00",true
Title 994,Movie,Action,2003,TV-MA,73 min,Japan,5,2000,"#00FF00",true
Title 995,TV Show,Thriller,1959,R,2 Seasons,United Kingdom,0,1950,"#FF0000",false
Title 996,TV Show,Sci-Fi,1996,G,1 Seasons,Canada,4,1990,"#32CC00",false
Title 997,TV Show,Horror,1954,TV-MA,84 min,Japan,1,1950,"#CC3300",true
Title 998,Movie,Sci-Fi,2020,PG-13,127 min,Japan,3,2020,"#659900",true
Title 999,TV Show,Comedy,1983,TV-MA,2 Seasons,United States,2,1980,"#996600",false
Title 1000,TV Show,Sci-Fi,2021,TV-PG,116 min,Australia,0,2020,"#FF0000",true
Title 1001,Movie,Romance,2012,PG,137 min,Australia,3,2010,"#659900",true
Title 1002,Movie,Comedy,2022,R,110 min,Germany,3,2020,"#659900",true
Title 1003,Movie,Documentary,1992,TV-PG,2 Seasons,Canada,1,1990,"#CC3300",false
Title 1004,TV Show,Horror,1981,TV-14,2 Seasons,Australia,5,1980,"#00FF00",false
Title 1005,TV Show,Comedy,1996,R,103 min,United States,3,1990,"#659900",true
Title 1006,Movie,Drama,2018,TV-PG,69 min,India,5,2010,"#00FF00",true
Title 1007,TV Show,Comedy,1972,G,3 Seasons,Japan,1,1970,"#CC3300",false
Title 1008,Movie,Sci-Fi,1959,PG-13,75 min,India,5,1950,"#00FF00",true
Title 1009,TV Show,Thriller,2016,R,87 min,Germany,5,2010,"#00FF00",true
Title 1010,TV Show,Documentary,2022,PG-13,119 min,Australia,2,2020,"#996600",true
Title 1011,TV Show,Thriller,1967,PG-13,3 Seasons,Australia,5,1960,"#00FF00",false
Title 1012,TV Show,Comedy,2007,G,74 min,Australia,5,2000,"#00FF00",true
Title 1013,TV Show,Thriller,1972,R,148 min,United Kingdom,4,1970,"#32CC00",true
Title 1014,Movie,Comedy,1981,TV-MA,167 min,Australia,5,1980,"#00FF00",true
Title 1015,TV Show,Action,2012,PG-13,137 min,India,2,2010,"#996600",true
Title 1016,TV Show,Sci-Fi,1976,R,2 Seasons,United States,5,1970,"#00FF00",false
Title 1017,TV Show,Drama,2022,PG,105 min,Canada,5,2020,"#00FF00",true
Title 1018,TV Show,Drama,1958,G,105 min,United Kingdom,0,1950,"#FF0000",true
Title 1019,TV Show,Sci-Fi,1983,PG-13,78 min,Germany,0,1980,"#FF0000",true
Title 1020,Movie,Thriller,2010,TV-MA,1 Seasons,Australia,1,2010,"#CC3300",false
Title 1021,TV Show,Thriller,1999,TV-MA,2 Seasons,United Kingdom,3,1990,"#659900",false
Title 1022,TV Show,Horror,1956,TV-14,2 Seasons,United Kingdom,3,1950,"#659900",false
Title 1023,Movie,Thriller,1996,PG-13,134 min,Canada,4,1990,"#32CC00",true
Title 1024,Movie,Comedy,1957,TV-PG,3 Seasons,Australia,1,1950,"#CC3300",false
Title 1025,Movie,Comedy,1980,PG,1 Seasons,Germany,3,1980,"#659900",false
Title 1026,Movie,Horror,1950,TV-14,3 Seasons,Germany,3,1950,"#659900",false
Title 1027,Movie,Horror,1958,TV-14,143 min,Japan,4,1950,"#32CC00",true
Title 1028,Movie,Documentary,1958,G,82 min,South Korea,5,1950,"#00FF00",true
Title 1029,Movie,Romance,1980,TV-14,177 min,India,4,1980,"#32CC00",true
Title 1030,Movie,Comedy,2021,TV-14,1 Seasons,Australia,2,2020,"#996600",false
Title 1031,TV Show,Sci-Fi,1971,R,1 Seasons,Germany,4,1970,"#32CC00",false
Title 1032,Movie,Romance,2023,R,91 min,United Kingdom,3,2020,"#659900",true
Title 1033,TV Show,Action,1977,TV-MA,1 Seasons,India,0,1970,"#FF0000",false
Title 1034,Movie,Romance,1977,TV-14,3 Seasons,Japan,0,1970,"#FF0000",false
Title 1035,TV Show,Sci-Fi,2000,TV-14,3 Seasons,India,1,2000,"#CC3300",false
Title 1036,TV Show,Romance,2021,TV-PG,108 min,India,1,2020,"#CC3300",true
Title 1037,Movie,Horror,2004,PG-13,87 min,United Kingdom,1,2000,"#CC3300",true
Title 1038,Movie,Horror,1984,R,85 min,Japan,3,1980,"#659900",true
Title 1039,TV Show,Romance,2004,TV-PG,1 Seasons,South Korea,5,2000,"#00FF00",false
Title 1040,Movie,Action,2020,TV-14,162 min,United States,0,2020,"#FF0000",true
Title 1041,TV Show,Documentary,2017,TV-14,3 Seasons,United Kingdom,0,2010,"#FF0000",false
Title 1042,TV Show,Action,1982,R,2 Seasons,South Korea,4,1980,"#32CC00",false
Title 1043,Movie,Comedy,2021,TV-MA,103 min,India,4,2020,"#32CC00",true
Title 1044,TV Show,Drama,1984,TV-MA,101 min,United Kingdom,4,1980,"#32CC00",true
Title 1045,TV Show,Thriller,2014,TV-MA,1 Seasons,Germany,2,2010,"#996600",false
Title 1046,Movie,Drama,2020,PG,1 Seasons,Japan,5,2020,"#00FF00",false
Title 1047,TV Show,Horror,1981,TV-PG,1 Seasons,Germany,2,1980,"#996600",false
Title 1048,TV Show,Sci-Fi,2004,TV-14,73 min,Canada,3,2000,"#659900",true
Title 1049,Movie,Action,1997,TV-PG,1 Seasons,United States,3,1990,"#659900",false
Title 1050,Movie,Thriller,1960,R,173 min,Japan,2,1960,"#996600",true
Title 1051,Movie,Comedy,1998,R,158 min,United States,4,1990,"#32CC00",true
Title 1052,TV Show,Horror,1966,TV-MA,1 Seasons,India,1,1960,"#CC3300",false
Title 1053,TV Show,Documentary,1960,R,80 min,Canada,0,1960,"#FF0000",true
Title 1054,TV Show,Romance,1959,R,90 min,Germany,4,1950,"#32CC00",true
Title 1055,Movie,Drama,2019,TV-PG,131 min,South Korea,4,2010,"#32CC00",true
Title 1056,TV Show,Documentary,1999,R,2 Seasons,Australia,1,1990,"#CC3300",false
Title 1057,TV Show,Horror,1981,G,1 Seasons,United Kingdom,4,1980,"#32CC00",false
Title 1058,TV Show,Action,2005,TV-PG,153 min,South Korea,1,2000,"#CC3300",true
Title 1059,TV Show,Thriller,1982,TV-MA,175 min,Japan,3,1980,"#659900",true
Title 1060,TV Show,Comedy,1970,G,2 Seasons,Japan,1,1970,"#CC3300",false
Title 1061,Movie,Documentary,1995,TV-14,78 min,Japan,0,1990,"#FF0000",true
Title 1062,Movie,Romance,1996,PG,3 Seasons,Australia,5,1990,"#00FF00",false
Title 1063,Movie,Thriller,1967,TV-PG,130 min,India,5,1960,"#00FF00",true
Title 1064,TV Show,Comedy,1987,G,108 min,United Kingdom,3,1980,"#659900",true
Title 1065,Movie,Comedy,1963,TV-PG,3 Seasons,Germany,3,1960,"#659900",false
Title 1066,Movie,Horror,1979,PG,94 min,Japan,3,1970,"#659900",true
Title 1067,Movie,Comedy,2010,TV-MA,85 min,South Korea,4,2010,"#32CC00",true
Title 1068,TV Show,Thriller,1993,TV-14,1 Seasons,United Kingdom,4,1990,"#32CC00",false
